Date,Month,Weekday,DayType,Hour,Base,Total_Trips
2014-04-04,Apr,Fri,Weekday,16,B02598,491
2014-04-04,Apr,Fri,Weekday,16,B02617,412
2014-04-04,Apr,Fri,Weekday,16,B02682,808
2014-04-04,Apr,Fri,Weekday,16,B02764,30
2014-04-04,Apr,Fri,Weekday,17,B02512,161
2014-04-04,Apr,Fri,Weekday,17,B02598,624
2014-04-04,Apr,Fri,Weekday,17,B02617,452
2014-04-04,Apr,Fri,Weekday,17,B02682,999
2014-04-04,Apr,Fri,Weekday,17,B02764,44
2014-04-04,Apr,Fri,Weekday,18,B02512,172
2014-04-04,Apr,Fri,Weekday,18,B02598,650
2014-04-04,Apr,Fri,Weekday,18,B02617,497
2014-04-04,Apr,Fri,Weekday,18,B02682,1090
2014-04-04,Apr,Fri,Weekday,18,B02764,40
2014-04-04,Apr,Fri,Weekday,19,B02512,139
2014-04-04,Apr,Fri,Weekday,19,B02598,599
2014-04-04,Apr,Fri,Weekday,19,B02617,418
2014-04-04,Apr,Fri,Weekday,19,B02682,946
2014-04-04,Apr,Fri,Weekday,19,B02764,31
2014-04-04,Apr,Fri,Weekday,20,B02512,92
2014-04-04,Apr,Fri,Weekday,20,B02598,401
2014-04-04,Apr,Fri,Weekday,20,B02617,285
2014-04-04,Apr,Fri,Weekday,20,B02682,675
2014-04-04,Apr,Fri,Weekday,20,B02764,36
2014-04-04,Apr,Fri,Weekday,21,B02512,112
2014-04-04,Apr,Fri,Weekday,21,B02598,543
2014-04-04,Apr,Fri,Weekday,21,B02617,389
2014-04-04,Apr,Fri,Weekday,21,B02682,836
2014-04-04,Apr,Fri,Weekday,21,B02764,49
2014-04-04,Apr,Fri,Weekday,22,B02512,110
2014-04-04,Apr,Fri,Weekday,22,B02598,506
2014-04-04,Apr,Fri,Weekday,22,B02617,360
2014-04-04,Apr,Fri,Weekday,22,B02682,845
2014-04-04,Apr,Fri,Weekday,22,B02764,38
2014-04-04,Apr,Fri,Weekday,23,B02512,91
2014-04-04,Apr,Fri,Weekday,23,B02598,363
2014-04-04,Apr,Fri,Weekday,23,B02617,265
2014-04-04,Apr,Fri,Weekday,23,B02682,593
2014-04-04,Apr,Fri,Weekday,23,B02764,27
2014-04-05,Apr,Sat,Weekend,0,B02512,45
2014-04-05,Apr,Sat,Weekend,0,B02598,205
2014-04-05,Apr,Sat,Weekend,0,B02617,126
2014-04-05,Apr,Sat,Weekend,0,B02682,330
2014-04-05,Apr,Sat,Weekend,0,B02764,17
2014-04-05,Apr,Sat,Weekend,1,B02512,31
2014-04-05,Apr,Sat,Weekend,1,B02598,105
