Lat,Lon,Total_Trips,Cluster_ID,Neighborhood_Trips,Is_Core,X_Km,Y_Km,Cluster_Total_Trips,Cluster_Share,Center_Lat,Center_Lon
40.63,-73.93,328,0,3189,FALSE,4.211874961034735,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-73.92,341,0,2619,FALSE,5.054249953242161,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-73.91,163,0,2060,FALSE,5.896624945449588,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-73.9,190,0,1309,FALSE,6.738999937655816,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-73.89,153,0,759,FALSE,7.581374929863243,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-73.88,14,0,341,FALSE,8.42374992207067,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-73.78,4,2,49725,TRUE,16.84749984414014,-13.343409628023664,107640,2.4120327358824154,40.64590143069491,-73.78347500929023
40.63,-73.75,3,0,150,FALSE,19.374624820761223,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-73.74,32,0,338,FALSE,20.216999812968645,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-73.73,48,0,423,FALSE,21.059374805174876,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-73.72,42,0,399,FALSE,21.9017497973823,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-73.71,40,0,225,FALSE,22.744124789589726,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.63,-73.7,7,0,116,FALSE,23.586499781795954,-13.343409628023664,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.64,-74.15,4,0,21,FALSE,-14.320374867519059,-12.231458825688557,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.64,-74.14,1,0,32,FALSE,-13.477999875311632,-12.231458825688557,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.64,-74.13,2,0,37,FALSE,-12.635624883104207,-12.231458825688557,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.64,-74.12,5,0,52,FALSE,-11.793249890897977,-12.231458825688557,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.64,-74.11,4,0,63,FALSE,-10.950874898690552,-12.231458825688557,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
40.64,-74.1,6,0,77,FALSE,-10.108499906483125,-12.231458825688557,133098,2.9825040234158093,40.73026732182302,-73.90160761243595
