Lat_Grid,Lon_Grid,Total_Trips,Percentage
40.730000000000004,-73.72,70,0.002
40.78,-74.03,70,0.002
40.79,-74.02,70,0.002
40.82,-73.98,70,0.002
40.85,-74.01,70,0.002
40.88,-73.98,70,0.002
40.72,-73.77,69,0.002
40.76,-73.73,69,0.002
40.910000000000004,-73.81,69,0.002
40.730000000000004,-73.75,68,0.002
40.910000000000004,-73.86,68,0.002
40.730000000000004,-73.73,67,0.002
40.730000000000004,-73.71000000000001,67,0.002
40.89,-73.96000000000001,67,0.002
40.89,-73.88,67,0.002
40.64,-73.74,66,0.001
40.69,-73.75,66,0.001
40.78,-73.71000000000001,66,0.001
40.89,-73.85000000000001,66,0.001
40.660000000000004,-73.76,65,0.001
40.69,-73.78,65,0.001
40.72,-73.76,65,0.001
40.77,-74.01,65,0.001
40.79,-73.83,65,0.001
40.87,-73.84,65,0.001
40.910000000000004,-73.85000000000001,65,0.001
40.76,-74.05,64,0.001
40.800000000000004,-74.07000000000001,64,0.001
40.800000000000004,-73.82000000000001,64,0.001
40.82,-73.99,64,0.001
40.84,-73.82000000000001,64,0.001
40.87,-73.97,64,0.001
40.67,-73.73,63,0.001
40.69,-74.07000000000001,63,0.001
40.87,-74.06,63,0.001
40.9,-73.85000000000001,63,0.001
40.58,-73.82000000000001,62,0.001
40.59,-73.81,62,0.001
40.77,-73.71000000000001,62,0.001
40.78,-74.04,62,0.001
40.87,-73.96000000000001,62,0.001
40.71,-73.76,61,0.001
40.74,-73.71000000000001,61,0.001
40.77,-73.8,61,0.001
40.72,-73.92,60,0.001
40.77,-73.73,60,0.001
40.85,-73.98,60,0.001
40.86,-73.83,60,0.001
40.89,-73.83,60,0.001
40.64,-74.08,59,0.001
40.64,-73.73,59,0.001
40.76,-74.07000000000001,59,0.001
40.65,-73.73,58,0.001
40.79,-74.06,58,0.001
40.83,-74.08,58,0.001
40.59,-74,57,0.001
40.69,-73.77,57,0.001
40.72,-73.71000000000001,57,0.001
40.75,-73.78,57,0.001
40.67,-74.10000000000001,56,0.001
40.68,-73.76,56,0.001
40.82,-74.07000000000001,56,0.001
40.84,-73.98,56,0.001
40.9,-73.81,56,0.001
40.660000000000004,-73.75,55,0.001
40.88,-74.06,55,0.001
40.88,-73.99,55,0.001
40.9,-73.94,55,0.001
40.6,-73.93,54,0.001
40.75,-73.77,54,0.001
40.69,-74.10000000000001,53,0.001
40.67,-73.74,52,0.001
40.77,-73.7,52,0.001
40.69,-73.79,51,0.001
40.730000000000004,-73.7,51,0.001
40.75,-73.81,51,0.001
40.79,-73.85000000000001,51,0.001
40.81,-74,51,0.001
40.910000000000004,-74.03,51,0.001
40.7,-73.73,50,0.001
40.72,-73.7,50,0.001
40.910000000000004,-73.84,50,0.001
40.6,-73.75,49,0.001
40.800000000000004,-74.02,49,0.001
40.63,-73.73,48,0.001
40.79,-73.72,48,0.001
40.82,-73.84,48,0.001
40.84,-74.15,48,0.001
40.65,-73.99,47,0.001
40.69,-73.73,47,0.001
40.71,-74.10000000000001,47,0.001
40.730000000000004,-73.76,47,0.001
40.75,-73.8,47,0.001
40.78,-74.05,47,0.001
40.81,-74.01,47,0.001
40.6,-73.74,46,0.001
40.660000000000004,-73.78,46,0.001
40.67,-74.12,46,0.001
40.7,-73.79,46,0.001
40.86,-74.06,46,0.001
40.87,-73.82000000000001,46,0.001
40.59,-73.82000000000001,45,0.001
40.800000000000004,-74.01,45,0.001
40.81,-73.85000000000001,45,0.001
40.9,-73.8,45,0.001
40.59,-73.73,44,0.001
40.59,-73.71000000000001,44,0.001
40.660000000000004,-74.09,44,0.001
40.68,-74.11,44,0.001
40.83,-74.14,44,0.001
40.7,-74.10000000000001,43,0.001
40.63,-73.72,42,0.001
40.69,-73.71000000000001,42,0.001
40.81,-73.98,42,0.001
40.89,-74.06,42,0.001
40.9,-73.96000000000001,42,0.001
40.69,-73.88,41,0.001
40.72,-73.72,41,0.001
40.59,-73.8,40,0.001
40.63,-73.71000000000001,40,0.001
40.68,-73.73,40,0.001
40.77,-74.06,40,0.001
40.82,-73.81,40,0.001
40.61,-73.71000000000001,39,0.001
40.62,-73.72,39,0.001
40.65,-73.76,39,0.001
40.71,-73.71000000000001,39,0.001
40.76,-73.72,39,0.001
40.78,-73.75,39,0.001
40.64,-73.88,38,0.001
40.69,-74.11,38,0.001
40.88,-73.95,38,0.001
40.9,-74.10000000000001,38,0.001
40.6,-73.76,37,0.001
40.660000000000004,-74.12,37,0.001
40.660000000000004,-73.7,37,0.001
40.68,-74.10000000000001,37,0.001
40.730000000000004,-73.77,37,0.001
40.76,-73.75,37,0.001
40.79,-73.78,37,0.001
40.910000000000004,-73.88,37,0.001
40.910000000000004,-73.83,37,0.001
40.59,-73.72,36,0.001
40.75,-73.74,36,0.001
40.76,-73.74,36,0.001
40.67,-74.11,35,0.001
40.83,-74.09,35,0.001
40.87,-74.01,35,0.001
40.61,-73.9,34,0.001
40.730000000000004,-74.14,34,0.001
40.75,-73.73,34,0.001
40.76,-73.7,34,0.001
40.81,-73.87,34,0.001
40.9,-73.82000000000001,34,0.001
40.61,-73.75,33,0.001
40.69,-73.72,33,0.001
40.7,-74.08,33,0.001
40.77,-73.72,33,0.001
40.800000000000004,-73.74,33,0.001
40.81,-74.11,33,0.001
40.88,-74.04,33,0.001
40.63,-73.74,32,0.001
40.64,-73.71000000000001,32,0.001
40.86,-73.96000000000001,32,0.001
40.9,-73.84,32,0.001
40.59,-74.07000000000001,31,0.001
40.6,-74.09,31,0.001
40.62,-74.08,31,0.001
40.660000000000004,-73.86,31,0.001
40.82,-74.08,31,0.001
40.83,-73.96000000000001,31,0.001
40.87,-73.98,31,0.001
40.6,-74.07000000000001,30,0.001
40.69,-74.09,30,0.001
40.9,-73.95,30,0.001
40.660000000000004,-73.71000000000001,29,0.001
40.800000000000004,-74.10000000000001,29,0.001
40.84,-73.99,29,0.001
40.85,-74,29,0.001
40.89,-73.8,29,0.001
40.9,-73.97,29,0.001
40.910000000000004,-73.89,29,0.001
40.62,-74.10000000000001,28,0.001
40.62,-73.9,28,0.001
40.64,-73.72,28,0.001
40.68,-73.72,28,0.001
40.71,-74.05,28,0.001
40.74,-74.08,28,0.001
40.85,-74.02,28,0.001
40.85,-73.82000000000001,28,0.001
40.58,-74,27,0.001
40.58,-73.84,27,0.001
40.59,-73.74,27,0.001
40.61,-74.12,27,0.001
40.67,-73.72,27,0.001
40.79,-73.74,27,0.001
40.88,-74.05,27,0.001
40.89,-74.04,27,0.001
40.910000000000004,-73.87,27,0.001
40.63,-74.11,26,0.001
40.65,-73.83,26,0.001
40.74,-73.73,26,0.001
40.82,-74.12,26,0.001
40.82,-74.10000000000001,26,0.001
40.83,-74.11,26,0.001
40.83,-73.84,26,0.001
40.86,-73.82000000000001,26,0.001
